Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Monica's Comments,,,,,
130625_001,Language,Interviewer,0:00:00,[Unclear transcription] our conversation today.  We want to discuss on how we use language everyday.,[Unclear transcription] our conversation today.  We want to discuss on how we use language everyday.,,,,,,,,
,,Ronald,,Thank you.,Thank you.,,,,,,,,
,,Interviewer,,"So <Swahili label='addressee specification'>wewe utumia</Swahili label='addressee specification'> language <Swahili>gani na</Swahili> family, daddy, mommy, sister, brothey?","So <English>you use</English> language <English>which with</English> family, daddy, mommy, sister, brothey?",CS,SM: Addressee specification.,,,,,,
,,Ronald,,"When I'm home, I use uh, Kalenjin.","When I'm home, I use uh, Kalenjin.",,,,,,,,
,,Interviewer,,Kalenjin?,Kalenjin?,,,,,,,,
,,Ronald,,"Yes, but the dialect is Kipsigis. ","Yes, but the dialect is Kipsigis. ",,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"Mhh. So we normally communicate in Kipsigis.  Ahm, the whole of my family, but when I'm with my friends back at home, it depends on the, the friends that I'm having also.  Because I have friends who are in college as, as a drop- school drop-out, maybe form IV or primary school.  So I choose the language depending on the- the easiest way to communicate with them.","Mhh. So we normally communicate in Kipsigis.  Ahm, the whole of my family, but when I'm with my friends back at home, it depends on the, the friends that I'm having also.  Because I have friends who are in college as, as a drop- school drop-out, maybe form IV or primary school.  So I choose the language depending on the- the easiest way to communicate with them.",,,,,,,,
,,Interviewer,,Mhh. ,Mhh. ,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,"Do your parents encourage you to speak Kipsigis or is there something- is it like a rule then, they want you to speak Kipsigis and not English or Kiswahili?","Do your parents encourage you to speak Kipsigis or is there something- is it like a rule then, they want you to speak Kipsigis and not English or Kiswahili?",,,,,,,,
,,Ronald,,[Actually] there is no rule but we just find they are comfortable with Kipsigis.  So I will not try to speak in a language that they struggle speaking.,[Actually] there is no rule but we just find they are comfortable with Kipsigis.  So I will not try to speak in a language that they struggle speaking.,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,So Kipsigis is more ah easy for them to communicate in.,So Kipsigis is more ah easy for them to communicate in.,,,,,,,,
,,Interviewer,0:01:23,"Mhh.  What about in school, <Swahili>kama sasa hapa</Swahili> campus? [unclear transcription]","Mhh.  What about in school, <English>like here now [on]</English> campus? [unclear transcription]",CS,Unmarked.,,,,,,
,,Ronald,,"Campus [unclear transcription].  <Swahili>Natumia</Swahili> English, Swahili and also Sheng.  [Unclear transcription] mixing English and Swahili.  So, when communicating with my peers, <Swahili>natumia tu</Swahili> English and Swahili na mixture.  A mixture of the two.","Campus [unclear transcription].  <English>I use</English> English, Swahili and also Sheng.  [Unclear transcription] mixing English and Swahili.  So, when communicating with my peers, <English>I only use</English> English and Swahili na mixture.  A mixture of the two.",CS,Unmarked.,Interviewer says a lot of 'mhhs'  throughout to Ronald's response to indicate he that he is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"But when in class, we use English.","But when in class, we use English.",,,,,,,,
,,Interviewer,,English?,English?,,,,,,,,
,,Ronald,,Aa.,Aa.,,,,,,,,
,,Interviewer,,Okay. What about when you meet the lecturers <Swahili>huko kwa</Swahili> streets?,Okay. What about when you meet the lecturers <English>out there in the</English> streets?,CS,Unmarked.,,,,,,
,,Ronald,,The lecturers?,The lecturers?,,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,English also.,English also.,,,,,,,,
,,Interviewer,,Even in the streets?,Even in the streets?,,,,,,,,
,,Ronald,,Even in the streets.,Even in the streets.,,,,,,,,
,,Interviewer,,A eh?!  Okay.,A eh?!  Okay.,,,,,,,,
,,Ronald,,"Because English, the- it's a language that I think- Okay, how I perceive it is uh-, it shows some respect. So when you communicate in English, there is- there's some respect that you are according the person.  Or sometimes, the lecturer might also be some- someone who is of age, above 50 years, and they'll not be- they will not understand Sheng if I talk to them in Sheng.  Or maybe they are not comfortable or really conversant with Kiswahili. So English is the better option.","Because English, the- it's a language that I think- Okay, how I perceive it is uh-, it shows some respect. So when you communicate in English, there is- there's some respect that you are according the person.  Or sometimes, the lecturer might also be some- someone who is of age, above 50 years, and they'll not be- they will not understand Sheng if I talk to them in Sheng.  Or maybe they are not comfortable or really conversant with Kiswahili. So English is the better option.",,,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.  So do you think it is important to know English?,Okay.  So do you think it is important to know English?,,,,,,,,
,,Ronald,,"Yes, it's very important.","Yes, it's very important.",,,,,,,,
,,Interviewer,,Mhh.  What are some of the benefits?,Mhh.  What are some of the benefits?,,,,,,,,
,,Ronald,0:03:07,"English, uh, most, most of the time, when we have discussions even in class, we use English to communicate.  In teaching, it is English that we use in, in class.  The education system in Kenya, is such a way that all the text, [unclear transcription] of the text are in English.  So woe unto you if you don't know English. Yeah, so it's really important to help you in the academic field and also in the career field.","English, uh, most, most of the time, when we have discussions even in class, we use English to communicate.  In teaching, it is English that we use in, in class.  The education system in Kenya, is such a way that all the text, [unclear transcription] of the text are in English.  So woe unto you if you don't know English. Yeah, so it's really important to help you in the academic field and also in the career field.",,,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"Okay.  So you think we learn English because of the benefits?  If we had a choice, maybe there were no benefits, would you still want to [know] English?","Okay.  So you think we learn English because of the benefits?  If we had a choice, maybe there were no benefits, would you still want to [know] English?",,,,,,,,
,,Ronald,,"Ah, if there was a choice, ah…I even doubt it that I'll be- if I would be knowing English as much.","Ah, if there was a choice, ah…I even doubt it that I'll be- if I would be knowing English as much.",,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"<Swahili>Kwa sababu, mimi ninge- ningeona</Swahili>, ""Mhh…"" It's like I'm straining to learn  another new language, yet I'll already have one.  So I would see no need of-really going into another, uh knowing another language. So…yeah-","<English>Because, I would see</English>, ""Mhh…"" It's like I'm straining to learn  another new language, yet I'll already have one.  So I would see no need of-really going into another, uh knowing another language. So…yeah-",CS,Unmarked.,,,,,,
,,Interviewer,,Mhh. Because of the benefits?,Mhh. Because of the benefits?,,,,,,,,
,,Ronald,,"Because of the benefits, we have to.","Because of the benefits, we have to.",,,,,,,,
,Importance of Mother Tongue,Interviewer,,"Okay.  And what about our native languages, <Swahili label='elaboration'>kilugha cha mama</Swahili label='elaboration'>?  Importance <Swahili>yake ni nini sasa</Swahili>?","Okay.  And what about our native languages, <English>mother tongue</English>?  Importance <English>of it is what now</English>?",CS,SM: Elaboration.,,,,,,
,,Ronald,,"Importance <Swahili label='accomodation'>yake, nilizaliwa kama naongeleshwa Kipsigis</Swahili label='accomodation'>.  And that is the identity that I received from my parents. And if I never knew Kipsigis, I really- I would feel like I'm, I'm missing out on many things.  Because going back to the village, <Swahili>niende niongeleshe</Swahili> my granother Swahili or English...I mean it would sound really- I'm not part of that community. But the Kipsigis now identifies me with that group and gives me a sense of identity and belonging.  So I think one really needs to know something in terms or their, their native language, not only to provide our sense of belonging, but also in communicating.  When you go back to the village, most of the people do not know English or Swahili that much.  So the only means that you can effectively communicate with them is using that native language.","Importance <English>of it, I was born being spoken to in Kipsigis</English>.  And that is the identity that I received from my parents. And if I never knew Kipsigis, I really- I would feel like I'm, I'm missing out on many things.  Because going back to the village, <English>I go back and address</English> my granother Swahili or English...I mean it would sound really- I'm not part of that community. But the Kipsigis now identifies me with that group and gives me a sense of identity and belonging.  So I think one really needs to know something in terms or their, their native language, not only to provide our sense of belonging, but also in communicating.  When you go back to the village, most of the people do not know English or Swahili that much.  So the only means that you can effectively communicate with them is using that native language.",CS,SM: Accomodation.,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,0:05:13,"So, do you think people who are bough- brought up in urban centers [unclear transcription] <Swahili label='elaboration'>wamelelewa</Swahili label='elaboration'> town.  There are mixtures of so many languages, <Swahili>hata wakienda shule wanaambiwa</Swahili>, ""It is English.""  So at the end of the day <Swahili>hata hawajui ki</Swahili>mother tongue.  Do you think they have some disadvantage?","So, do you think people who are bough- brought up in urban centers [unclear transcription] <English>are raised in</English> town.  There are mixtures of so many languages, <English>even when they go to school they are told</English>, ""It is English.""  So at the end of the day <English>they don't even know the little</English>mother tongue.  Do you think they have some disadvantage?",CS,SM: Elaboration.,,,,,,
,,Ronald,0:06:04,"Mhh…I really don't think they are disadvantaged.  <Swahili label='solidarity'>Lakini kama wataenda  huko ushagoo</Swahili label='solidarity'> the country side, that is where the disadvantage will come in. <Swahili>Kwa sababu</Swahili> they'll have to communicate with those, those even old people and their friends back in the village.  But if their friends in the village understand, the- the- English and Swahili very well, then there will not be a disadvantage.  They'll, they'll communi- they'll still communicate effectively.  But <Swahili>kama kuna [unclear transcription] hawaelewi</Swahili> Kiswahili and English and they have to communicate, now that's where our problem will come in.  <Swahili>Lakini</Swahili>, if the- the situation that they don't have to go back to the village at all at all, then it's not a disadvantage.  <Swahili>Si lazima wajue</Swahili> their, their native language,","Mhh…I really don't think they are disadvantaged.  <English>But if they go out there to the rural</English> the country side, that is where the disadvantage will come in. <English>Because</English> they'll have to communicate with those, those even old people and their friends back in the village.  But if their friends in the village understand, the- the- English and Swahili very well, then there will not be a disadvantage.  They'll, they'll communi- they'll still communicate effectively.  But <English>if there is [unclear transcription] they don't understand</English> Kiswahili and English and they have to communicate, now that's where our problem will come in.  <English>But</English>, if the- the situation that they don't have to go back to the village at all at all, then it's not a disadvantage.  <English>It's not a must that they know</English> their, their native language,",CS,SM: Solidarity.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate he that he is listening],,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,if they were not born into it.,if they were not born into it.,,,,,,,,
,,Interviewer,,"Do you think this knowledge of native language, because, when you identify yourself as a Kipsigis or I identify myself mbe as a Kikuyu or a Luya, do you think that was the cause of a problem in 2007, the post election violence?","Do you think this knowledge of native language, because, when you identify yourself as a Kipsigis or I identify myself maybe as a Kikuyu or a Luya, do you think that was the cause of a problem in 2007, the post election violence?",,,"Ronald says some ""ehs and ahs""  throughout to interviewer's question to indicate he that he is listening.",,,,,
,,Ronald,,Uhm…I really don't think the- our differences in language is what brought out- about the… the clashes.  There were other underlying factors.  <Swahili>Sasa watu wakatumia</Swahili> that difference in language to justify a Kikuyu fighting a Luo or vice versa. ,Uhm…I really don't think the- our differences in language is what brought out- about the… the clashes.  There were other underlying factors.  <English>Now people used</English> that difference in language to justify a Kikuyu fighting a Luo or vice versa. ,CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate he that he is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"So really, <Swahili>ni kama kulikuwa na shida</Swahili> with the housing, <Swahili>kuna shida na</Swahili> eh…living conditions.  <Swahili>Kwanza</Swahili> in Rift Valley, the- there are Kikuyus in Rift Valley.  So, the Kalenjins who live in Lu- Rift Valley see the Kikuyu's as competitors.  So when the clashes, the- when the- there was this dispute 2007, dispute of general elections. That is the time that people took not to iron out their differences.  So, it- it wasn't really about the languages that they were speaking. <Swahili>Ni ile waliona</Swahili> you are a competitor <Swahili label='secrecy'>na lazima tukutoe hapa</Swahili label='secrecy'>.","So really, <English>it's like there was a problem</English> with the housing, <English>there is a problem with</English> eh…living conditions.  <English>First</English> in Rift Valley, the- there are Kikuyus in Rift Valley.  So, the Kalenjins who live in Lu- Rift Valley see the Kikuyu's as competitors.  So when the clashes, the- when the- there was this dispute 2007, dispute of general elections. That is the time that people took not to iron out their differences.  So, it- it wasn't really about the languages that they were speaking. <English>It's that they saw</English> you are a competitor <English>and we must get you out of here</English>.",CS,SM: Secrecy.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay. So we can't blame language?,Okay. So we can't blame language?,,,,,,,,
,,Ronald,,"We can't really blame language.  Ya, but, <Swahili>hasa</Swahili> it's kind of complicated, because language also identifies you to that specific group.","We can't really blame language.  Ya, but, <English>especially</English> it's kind of complicated, because language also identifies you to that specific group.",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,0:08:11,"Okay.  It's evident that you mix languages in your conversation, at least at one point.  Why do you think you mix?","Okay.  It's evident that you mix languages in your conversation, at least at one point.  Why do you think you mix?",,,,,,,,
,,Ronald,,Uhm…ease of communication really.  ,Uhm…ease of communication really.  ,,,,,,,,
,,Interviewer,,For ease of communication.,For ease of communication.,,,,,,,,
,,Ronald,,Ease of communication.,Ease of communication.,,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,"There are some things maybe uhm, I don't have vocabulary for.  So I'll- I'll  opt to choose vocabulary from the other language that I'm- that I have.  <Swahili>Ndiyo kukuwa na hiyo mchanganyiko</Swahili> and bring out the communication.","There are some things maybe uhm, I don't have vocabulary for.  So I'll- I'll  opt to choose vocabulary from the other language that I'm- that I have.  <English>That's how there is that mixture</English> and bring out the communication.",CS,Unmarked.,,,,,,
,,Interviewer,,Mhh.  So at the end of the day it's for ease of communication.,Mhh.  So at the end of the day it's for ease of communication.,,,,,,,,
,,Ronald,,Ease of communication.,Ease of communication.,,,,,,,,
,What Languages do you tend to Mix,Interviewer,,Mh hhh.  And what languages do you tend to mix?,Mh hhh.  And what languages do you tend to mix?,,,,,,,,
,,Ronald,,English and Swahili.,English and Swahili.,,,,,,,,
,,Interviewer,,English and Swahili.,English and Swahili.,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,No Sheng anywhere?,No Sheng anywhere?,,,,,,,,
,,Ronald,,"Ah, Sheng <Swahili>pia natumia</Swahili>, but rarely because, uh, nowadays I rarely use Sheng.","Ah, Sheng <English>also I use it</English>, but rarely because, uh, nowadays I rarely use Sheng.",CS,Unmarked.,,,,,,
,,Interviewer,,Why?,Why?,,,,,,,,
,,Ronald,,"<Swahili>Ni kama inakuja na</Swahili> maturity.  <Swahili>Kianza kuongea ile Sheng unafikiri</Swahili>, ""Oh, no way, I’m not.""","<English>It's like it comes with</English> maturity.  <English>When you start to speak that Sheng you think</English>, ""Oh, no way, I’m not.""",CS,Unmarked.,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,Yeah.,Yeah.,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"But when I was in first year, <Swahili>ama</Swahili> even in high school, <Swahili>kuongea</Swahili> Sheng was the in thing.  <Swahili>Kama hujui Sheng</Swahili>=","But when I was in first year, <English>or</English> even in high school, <English>speaking</English> Sheng was the in thing.  <English>If you don’t know Sheng</English>=",CS,Unmarked.,,,,,,
,,Interviewer,,The swag.,The swag.,,,,,,,,
,,Ronald,,"Yeah, it was the swag.","Yeah, it was the swag.",,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,"So, <Swahili>kama huwezi kuongea Sheng unaonekana mshamba</Swahili>.","So, <English>if you can't speak Sheng you look uncool</English>.",CS,Unmarked.,,,,,,
,,Interviewer,,(laughs),(laughs),,,,,,,,
,,Ronald,0:09:16,"But now when we become of age, do you realize Sheng is even ghetto-ish, do- <Swahili>hutaki kuidentify</Swahili>.  But sometimes <Swahili>inabidi utumie</Swahili> when you are with some friends. <Swahili>Ukipata marafiki zako wamerudi</Swahili> Sheng <Swahili>wote hadi unaanza pia kupick</Swahili>, one, one, two.  <Swahili>Na pia unataka ku- kuweka yako [mwanza model] usionekane</Swahili> like only talking fluent English or fluent Swahili. Yeah,so - so, in- i- it depends on the- the group that you are with.  If that group is speaking Sheng, for you to fit in, <Swahili>ipe uwanza kuongea</Swahili> that Sheng <Swahili>kidogo, unajua</Swahili>.  Sense of belonging.","But now when we become of age, do you realize Sheng is even ghetto-ish, do- <English>you don't want to identify</English>.  But sometimes <English>you have to use it</English> when you are with some friends. <English>When you find your friends returning to</English> Sheng <English>all of them until you start to pick</English>, one, one, two.  <English>And also you want to-to put your Mwanza model so you don't seem</English> like only talking fluent English or fluent Swahili. Yeah,so - so, in- i- it depends on the- the group that you are with.  If that group is speaking Sheng, for you to fit in, <English>ipe uwanza kuongea</English> that Sheng <English>a little bit, you know</English>.  Sense of belonging.",CS,Unmarked.,Interviewer says lots of 'mhhs' and 'mh hhhs' throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.  So you think sometimes the language you speak is a result of maybe being pushed by something?,Okay.  So you think sometimes the language you speak is a result of maybe being pushed by something?,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,The kind of interaction- or the kind of people that you are interacting with.,The kind of interaction- or the kind of people that you are interacting with.,,,,,,,,
,,Interviewer,,Will determine the language that you use.,Will determine the language that you use.,,,,,,,,
,,Ronald,,Will determine the language that you use.,Will determine the language that you use.,,,,,,,,
,,Interviewer,,Okay.  Is there a difference- <Swahili>ama ume</Swahili> notice <Swahili>ati wewe unaongea</Swahili> different from <Swahili>vile besti wako anaongea</Swahili>?,Okay.  Is there a difference- <English>or have you</English> notice[d] <English>that you speak</Swahili> different from <English>the way your best friends speaks</English>?,CS,Unmarked.,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,How do you know that difference?,How do you know that difference?,,,,,,,,
,,Ronald,0:10:33,"Aah, the difference comes in maybe in pronounciation of words and maybe [unclear transcription] of vocabulary.  There are some people who are affected by their mother tongue.  So they'll have problems when communicating or when pronouncing certain words.  For example in Kalenjin, people have problems with the plosives, especially the Bs, Ps and even K and V.  They'll interchange it.  Where there should be a B, there's a P.  Where there's an F, they put a V. So, really it is a- that- that your mother tongue influence [unclear transcription] support that difference.","Aah, the difference comes in maybe in pronounciation of words and maybe [unclear transcription] of vocabulary.  There are some people who are affected by their mother tongue.  So they'll have problems when communicating or when pronouncing certain words.  For example in Kalenjin, people have problems with the plosives, especially the Bs, Ps and even K and V.  They'll interchange it.  Where there should be a B, there's a P.  Where there's an F, they put a V. So, really it is a- that- that your mother tongue influence [unclear transcription] support that difference.",,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"Apart from mother tongue influence, is there any [pinets], if it's not in the accent now?","Apart from mother tongue influence, is there any [pinets], if it's not in the accent now?",,,,,,,,
,,Ronald,,[Uncertain transcription] place of vocabulary?,[Uncertain transcription] place of vocabulary?,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,0:11:40,"Uh…I've been reading lots of uh, articles on the internet, novels.  I love- I love literature [unclear transcription].  So I think, uh, the English that I have maybe, might be different from somebody else who- who doesn't uh- read widely, or who doesn't read uh, novels, or other- other journals.","Uh…I've been reading lots of uh, articles on the internet, novels.  I love- I love literature [unclear transcription].  So I think, uh, the English that I have maybe, might be different from somebody else who- who doesn't uh- read widely, or who doesn't read uh, novels, or other- other journals.",,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.  So you can tell if somebody is from your area from the way they speak?,Okay.  So you can tell if somebody is from your area from the way they speak?,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,Because of the accent?,Because of the accent?,,,,,,,,
,,Ronald,,Because of the accent.,Because of the accent.,,,,,,,,
,,Interviewer,,"Okay.  What about if you heard someone speaking and you can't see them, maybe inside a room like this, and you are walking outside there.  And you could be familiar, maybe it's your lecturer or your friend, and they are inside a room, and you are passing by.  Can you tell?","Okay.  What about if you heard someone speaking and you can't see them, maybe inside a room like this, and you are walking outside there.  And you could be familiar, maybe it's your lecturer or your friend, and they are inside a room, and you are passing by.  Can you tell?",,,"Ronald says some ""ehs and ahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,,"From their tone, I can tell.  ","From their tone, I can tell.  ",,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,Apart from the tone?,Apart from the tone?,,,,,,,,
,,Ronald,,"Mhh…It would be hard, because, uh, if I…the- the- the- tone that they use- they use is the one that I use to ","Mhh…It would be hard, because, uh, if I…the- the- the- tone that they use- they use is the one that I use to ",,,,,,,,
,,Interviewer,,identify,identify,,,,,,,,
,,Ronald,,to identify them.,to identify them.,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"But if that is now out, it will be hard for me to identify them.  But maybe if I continue listening to them then hear the kind of conversation they are having","But if that is now out, it will be hard for me to identify them.  But maybe if I continue listening to them then hear the kind of conversation they are having",,,,,,,,
,,Interviewer,,You can tell.,You can tell.,,,,,,,,
,,Ronald,,"from- from the words they are using, now maybe that's why I can tell, that is so and so.  For example, some people like to- to use a- there's a- some conversational…","from- from the words they are using, now maybe that's why I can tell, that is so and so.  For example, some people like to- to use a- there's a- some conversational…",,,,,,,,
,,Interviewer,,"We call them ""pet phrases.""","We call them ""pet phrases.""",,,,,,,,
,,Ronald,,Pet phrases? Yeah.,Pet phrases? Yeah.,,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,That's why you can- you can tell that is so and so.,That's why you can- you can tell that is so and so.,,,,,,,,
,,Interviewer,0:13:25,"Some people claim of intuition.  Do you think that is true?  That if somebody is your friend and you are close, you can feel.","Some people claim of intuition.  Do you think that is true?  That if somebody is your friend and you are close, you can feel.",,,,,,,,
,,Ronald,,"Aah…wa-haa, how that is…Maybe it only applies to some individuals, not everybody.","Aah…wa-haa, how that is…Maybe it only applies to some individuals, not everybody.",,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,Ascertaining Level of Education Based on Language Use,Interviewer,,"Mh hhh.  What about someone's level of education, as in <Swahili label='quotation'>mtu akiongea, utajua, ""Eh, huyo amesoma mpaka</Swahili label='quotation'> level <Swahili label='quotation'>fulani</Swahili label='quotation'>.""","Mh hhh.  What about someone's level of education, as in <English>when a person speaks you'll know, ""Eh, that one has studied until a</English> level <English>certain</English>.""",CS,SM: Quotation.,,,,,,
,,Ronald,,Sure.  Sure.,Sure.  Sure.,,,,,,,,
,,Interviewer,,You can tell?,You can tell?,,,,,,,,
,,Ronald,,You can tell.,You can tell.,,,,,,,,
,,Interviewer,,How?,How?,,,,,,,,
,,Ronald,,"The vocabulary they are using, the- the sentence construction.  They'll tend to have simple sentences, not complex.  And their vocabulary will also be simple.  Somebody who has gone up to, let's say Master's level, and somebody who dropped out in Class 8 maybe, the kind of English that was taught in primary school is totally different from that one that a Master's student knows.  The vocabulary that they'll be using are totatally different.  They'll be sub- the- the- Master's student will be substituting, or will be using vocabulary that are advanced level from that- from someone who has not gone to that higher education.","The vocabulary they are using, the- the sentence construction.  They'll tend to have simple sentences, not complex.  And their vocabulary will also be simple.  Somebody who has gone up to, let's say Master's level, and somebody who dropped out in Class 8 maybe, the kind of English that was taught in primary school is totally different from that one that a Master's student knows.  The vocabulary that they'll be using are totatally different.  They'll be sub- the- the- Master's student will be substituting, or will be using vocabulary that are advanced level from that- from someone who has not gone to that higher education.",,,"Interviewer says lots of 'mhhs', 'mh hhhs' and a few 'okays' throughout to Ronald's response to indicate she that she is listening.",,,,,
,,Interviewer,0:14:50,"Okay.  What about position in the society, what you call ""status.""  [Unclear transcription] know you have the higher, the- the average and the lower.  Can you tell from the way they speak? (laughs)","Okay.  What about position in the society, what you call ""status.""  [Unclear transcription] know you have the higher, the- the average and the lower.  Can you tell from the way they speak? (laughs)",,,,,,,,
