Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Monica's Comments,,,,,
,,Ronald,,"<Swahili>Mtu wa kawaida, mtu wa kawaida anaongea kawaida tu. Lugha ya kawaida</Swahili>, mainly Swahili.  <Swahili>Lakini kuna yule mtu</Swahili> maybe <Swahili>wa kati kati anaweza kuwa anachanganya zote mbili</Swahili>.  But you'll get that someone, uh…an executive, <Swahili>ama tu</Swahili> somebody like maybe our- our vice chancelor.  I'm very sure <Swahili>anakuwa ana</Swahili>communicate in English because he's someone official, <Swahili>ama sijui ni kwa nini</Swahili>.  I don't know if it is because of status, <Swahili>ni watu upenda kutumia</Swahili> English.  So you can tell, <Swahili>u- mtu aki- kama mtu anaongea</Swahili> English <Swahili label='quotation'>sana sana, utaanza kumwona, ""Eh, kwani mtu anafanya kazi wapi?""  Ama jui ni wa wapi</Swahili label='quotation'>?  You tend to question because it is totally different from what you are used to.  So I really think there's- there's a difference in the way people use language according to status.","<English>A regular person, a regular person just speaks regularly. Regular everyday language</English>, mainly Swahili.  <English>But there is that person</English> maybe <English>of in between s/he can be mixing both twoi</English>.  But you'll get that someone, uh…an executive, <English>or just</English> somebody like maybe our- our vice chancelor.  I'm very sure <English>he does</English>communicate in English because he's someone official, <English>or I don't know why</English>.  I don't know if it is because of status, <English>it is people like to use</English> English.  So you can tell, <English>a person if they-if a person speaks</English> English <English>mostly, you will start to see him/her as ""Eh, where does this person work?"" Or you don't know where they are from</English>?  You tend to question because it is totally different from what you are used to.  So I really think there's- there's a difference in the way people use language according to status.",CS,SM: Quotation.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,0:16:00,"And do you think it's because English came with <Swahili label='quotation'>wazungu ile watu wasema, ""Eh, ilitoka huko na wazungu</Swahili label='quotation'>.""","And do you think it's because English came with <English>white people that people say, ""Eh, it came from out there with white people</English>.""",CS,SM: Quotation.,,,,,,
,,Ronald,,<Swahili>Ilitoka wazungu</Swahili>.,<English>It came from white people</English>.,,,,,,,,
,,Interviewer,,"Does that really- is that the cause of us giving English a very high status because <Swahili>mtu akiongea</Swahili> English, <Swahili>anaonekana ako juu</Swahili>.  ","Does that really- is that the cause of us giving English a very high status because <English>when a person speaks</English> English, <English>s/he looks to be really on top</English>.  ",CS,Unmarked.,,,,,,
,,Ronald,,Yes. (laughs),Yes. (laughs),,,,,,,,
,,Interviewer,,<Swahili label='solidarity'>Lakini mtu akiongea Kiswahili tume</Swahili label='solidarity'>associate <Swahili>Kiswahili na? watu wa kawaida</Swahili>.,<English>But if a person speak Swahili we have</English>associate[d] <English>Swahili with regular people</English>.,CS,SM: High solidarity.,,,,,,
,,Ronald,,"<Swahili label='accomodation'>Kiswahili na wa kawaida tu.  Mwananchi wa kawaida, ndio maana unaona, Taifa Leo, ile inatu- inaandikwa na Kiswahili</Swahili label='accomodation'>.  It's a very small paper because the target population that is being the- who are being sold to, <Swahili>ni watu wachache sana</Swahili>.  Most people want to buy Daily Nation or Standard, which is in English.  So it tells you something about the- the status we've accord English.  I think everything, <Swahili>tena ukiona kama</Swahili> advertisements, <Swahili>iko</Swahili> in English.  <Swahili>Halafu saa hizi wana- wanataka ku- kuandika</Swahili> an announce- <Swahili>ama</Swahili> an advert, aiming at those people of a lower status, <Swahili>wanatumia Swahili.  Si kumaanisha Swahili imedhalilishwa</Swahili>, English <Swahili>imepewa</Swahili> status <Swahili>nyingine iko juu sana</Swahili>.  And just for the fact that English <Swahili>inatumika</Swahili> US and those other developed countries.  So we give it that status too.  And we also want to be accorded that status when we speak the English.","<English>Swahili and just regular folks. A regular citizen, that's why you see, the Daily Nation, that it-it is written with Swahili</English>.  It's a very small paper because the target population that is being the- who are being sold to, <English>are very few people</English>.  Most people want to buy Daily Nation or Standard, which is in English.  So it tells you something about the- the status we've accord English.  I think everything, <English>again if you see like</English> advertisements, <English>it is</English> in English.  <English>And then these days they-they wan to-to write</English> an announce- <English>or</English> an advert, aiming at those people of a lower status, <English>they use Swahili. Not meaning that Swahili has been disrespected</English>, English <English>has been given a</English> status <English>different, it is very high</English>.  And just for the fact that English <English>is used in the</English> US and those other developed countries.  So we give it that status too.  And we also want to be accorded that status when we speak the English.",CS,SM: Accomodation.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,0:17:28,"<Swahili label='solidarity'>Sasa, tukaweka, tumeweka Kiswahili chini</Swahili label='solidarity'>.  Because <Swahili>kama kwa</Swahili> Constitution <Swahili label='solidarity'>yetu si- ti-</Swahili label='solidarity'> in fact <Swahili>Kiswahili ndio iko na- iko na-</Swahili> it's like <Swahili>iko juu</Swahili> because <Swahili>imes-</Swahili> it's a national language <Swahili>na</Swahili> an official language.  English <Swahili>tu ni</Swahili> official language.","<English>Now, we put, we put Swahili down</English>.  Because <English>like for</English> Constitution <English>[of] ours, is it not-</English> in fact <English>Swahili it has-it has-</English> it's like <English>it's high</English> because <English>it has</English>-it's a national language <English>and</English> an official language.  English <English>is just an</English> official language.",CS,SM: High solidarity.,,,,,,
,,Ronald,,Official language.,Official language.,,,,,,,,
,,Interviewer,,"But still <Swahili label='addressee specification'>unaona hizo mbili hata hazipatani</Swahili label='addressee specification'>.  Still <Swahili>ukipata mtu anaongea Kiswahili na</Swahili>- [makes some sound].  In fact <Swahili>hata watu waki- wakienda</Swahili> rural areas, <Swahili>kama unataka kuji</Swahili>show-off <Swahili>na</Swahili> your friends, what do you do?","But still <English>you see those those two even they don't go together</English>.  Still <English>if you find a person speaking Swahili and</English>- [makes some sound].  In fact <English>even if people -if they go to</English> rural areas, <English>if you want to yourself</English>show-off <English>and</English> your friends, what do you do?",CS,SM: Addressee specification.,"Ronald says some ""ehs and ahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,,English. (laughs),English. (laughs),,,,,,,,
,,Interviewer,,(Laughs),(Laughs),,,,,,,,
,,Ronald,,You definitely use English.,You definitely use English.,,,,,,,,
,,Interviewer,,You use English.,You use English.,,,,,,,,
,,Ronald,,E ee.,E ee.,,,,,,,,
,,Interviewer,,"What about political affiliation?  <Swahili>Kwanza kama sasa hizi</Swahili> conclude general elections.  <Swahili>Mtu angeongea ungejua huyu ni wa</Swahili> party <Swahili>fulani, huyu ni wa</Swahili> party <Swahili>fulani</Swahili>. ","What about political affiliation?  <English>First like right now</English> conclude general elections.  <English>A person if they speak you would know this one is of</English> party <English>a certain, this one is of</English> party <English>a certain</English>. ",CS,,"""This one is of a certain party""",,,,,
,,Ronald,,"Uhm…okay, that's that one is hard to tell, just based on the-","Uhm…okay, that's that one is hard to tell, just based on the-",,,,,,,,
,,Interviewer,,The conversation.,The conversation.,,,,,,,,
,,Ronald,0:18:21,"the conversation.  But maybe if you get into analyzing the details, from what they are saying, even the vocabulary they are saying- they are using, I mean, you can- you can tell.  If you hear people talking of a, ""We have- we are very much jubilated,""  Why you'll see- you'll start- ""Heh?! This guy is jubilated"" yeah? So that's definitely from the- the Jubilee side.  Then uh, there- there's a, the [uncertain transcription] party was which one?","the conversation.  But maybe if you get into analyzing the details, from what they are saying, even the vocabulary they are saying- they are using, I mean, you can- you can tell.  If you hear people talking of a, ""We have- we are very much jubilated,""  Why you'll see- you'll start- ""Heh?! This guy is jubilated"" yeah? So that's definitely from the- the Jubilee side.  Then uh, there- there's a, the [uncertain transcription] party was which one?",,,,,,,,
,,Interviewer,,Mhh (laughs). Code.,Mhh (laughs). Code.,,,,,,,,
,,Ronald,,Code!,Code!,,,,,,,,
,,Interviewer,,"Yeah, coded.","Yeah, coded.",,,,,,,,
,,Ronald,,"Yeah, someone tells you, ""We are MUCH coded!"" So-","Yeah, someone tells you, ""We are MUCH coded!"" So-",,,,,,,,
,,Interviewer,,There's a [uncertain transcription] vocabulary.,There's a [uncertain transcription] vocabulary.,,,,,,,,
,,Ronald,,I think it's from the vocabulary.  Between the vocabulary.,I think it's from the vocabulary.  Between the vocabulary.,,,,,,,,
,,Interviewer,,Mhh.  Language is very powerful in that case.,Mhh.  Language is very powerful in that case.,,,,,,,,
,,Ronald,,"Yeah, it's powerful.","Yeah, it's powerful.",,,,,,,,
,,Interviewer,,"And you had talked about talking a different languages to different people.  Can you revisit that?  When do you talk this language, to who, where, why?","And you had talked about talking a different languages to different people.  Can you revisit that?  When do you talk this language, to who, where, why?",,,,,,,,
,,Ronald,,Ah. Yeah…it's a ,Ah. Yeah…it's a ,,,,,,,,
,,Interviewer,,That touches on setting.,That touches on setting.,,,,,,,,
,,Ronald,,On the setting?,On the setting?,,,,,,,,
,,Interviewer,,"Yeah, the setting.","Yeah, the setting.",,,,,,,,
,,Ronald,,"Yeah, first of all the setting, if I meet- let's say I come to one of these officers, I'll use English in communicating.  It's an official language.  But when I'm in my hostel room there, I'll be using Swahili.  English will just be a little bit.  Also depending on the person whom I'm talking to.","Yeah, first of all the setting, if I meet- let's say I come to one of these officers, I'll use English in communicating.  It's an official language.  But when I'm in my hostel room there, I'll be using Swahili.  English will just be a little bit.  Also depending on the person whom I'm talking to.",,,Interviewer says some 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"I wanted to ask about that.  In the office, if you find a friend or somebody you know like me, and you want to ask something, will you still use English?","I wanted to ask about that.  In the office, if you find a friend or somebody you know like me, and you want to ask something, will you still use English?",,,,,,,,
,,Ronald,,"Now because I know you, I might choose Swahili or English.  But before I knew you, I'd use English.  I think, it wi- u- we use- we use English for even people we- we- we don't know, but for someone now we are comfortable with, <Swahili label='high solidarity'>tunaweza tumia</Swahili label='high solidarity'>> other, any other language.  <Swahili>Hata kama nimekupata kwa ofisi</Swahili>, this office, and you are a Kale, and I know you speak Kale, I might even communicate to you in Kalenjin.  <Kalenjin>Ndi ilete tu</Kalenjin> that- that sense of we belong to some- some- some- some language group.  ","Now because I know you, I might choose Swahili or English.  But before I knew you, I'd use English.  I think, it wi- u- we use- we use English for even people we- we- we don't know, but for someone now we are comfortable with, <English>we can use</English> other, any other language.  <English>Even if I find you at the office</English>, this office, and you are a Kale, and I know you speak Kale, I might even communicate to you in Kalenjin.  <English>Ndi ilete tu</English> that- that sense of we belong to some- some- some- some language group.  ",CS,SM: High solidarity.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,0:20:50,"What about <Swahili>kwa kanisa, kwa</Swahili> church?","What about <English>at church, at</English> church?",CS,Unmarked.,,,,,,
,,Ronald,,<Swahili>Kwa church</Swahili>?,<English>At church</English>?,,,,,,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,,,,,,
,,Ronald,,"Church also <Swahili>ina</Swahili> depend <Swahili>ni</Swahili> church <Swahili>ya wapi</Swahili>. (laughs.  Interviewer joins in the laughter.)  'Cause, if it's a church in my rural area, I'll use, ah, Kipsigis.  If it's an urban area, it is English.  Swahili, Swahili <Swahili>pia</Swahili> in church <Swahili>itapewa</Swahili> that, that status <Swahili>sana.  Uwa kuna</Swahili> service <Swahili>ya</Swahili> Swahili <Swahili>baadaye</Swahili> after <Swahili>ya</Swahili> English.  <Swahili>Ama kuna</Swahili> one hour thirty minutes <Swahili>ya</Swahili> Swahili service, then the main service is in English, and there's no translation. (laughs)","Church also <English>it</English> depend[s] <English>it is a</English> church <English>of where</English>. (laughs.  Interviewer joins in the laughter.)  'Cause, if it's a church in my rural area, I'll use, ah, Kipsigis.  If it's an urban area, it is English.  Swahili, Swahili <English>also</English> in church <English>it will be given</English> that, that status <English>a lot. There is usually a</English> service <English>of</English> Swahili <English>after</English> after <English>of</English> English.  <English>Or there is</English> one hour thirty minutes <English>of</English> Swahili service, then the main service is in English, and there's no translation. (laughs)",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"So, it's still even in church Kiswahili does not have status <Swahili>bado</Swahili>.","So, it's still even in church Kiswahili does not have status <English>still</English>.",CS,Unmarked.,,,,,,
,,Ronald,,"Swahili, <Swahili>haina</Swahili> status.","Swahili, <English>doesn't have</English> status.",CS,Unmarked.,,,,,,
,,Interviewer,,Mhh. ,Mhh. ,,,,,,,,
,,Ronald,,"Ya, but in some rural areas <Swahili>ndio wanatumia</Swahili> mostly, uh, Swahili.  And also, I've also realized one thing, that some churches who'll- who love to use Swahili.  For example, this church, uhm…Jehovah Witness.  Because they- they- they have these officers to the rural areas, they were using- they were using Swahili.  But some other churches now use, uh, English.","Ya, but in some rural areas <English>they use</English> mostly, uh, Swahili.  And also, I've also realized one thing, that some churches who'll- who love to use Swahili.  For example, this church, uhm…Jehovah Witness.  Because they- they- they have these officers to the rural areas, they were using- they were using Swahili.  But some other churches now use, uh, English.",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,,Interviewer,,"Why do you think is the reason, so that you- you change your language, depending on the setting and depending on the person?  Why do you think- what is the reason?","Why do you think is the reason, so that you- you change your language, depending on the setting and depending on the person?  Why do you think- what is the reason?",,,,,,,,
,,Ronald,0:22:28,"It is to accommodate them.  Because if- if I cannot accommodate you, then I'll not be communicating [uncertain transcription].  For example, I have- if I have a friend who is a- who is a non-speaker of English or Swahili, and I'm with friends who are all speaking English.   That person will have problems if I don't consider them in that con- conversation.  They'll be left out.  But maybe, I'll- I'll now start, uh, to- talking to him, ""This guy has said this:""  I try to translate.  But if we are all speakers of Swahili, then somebody who is speaking English- Okay, let's assume you all know English and Swahili, but we were speaking Swahili.  Then somebody joins us who is not conversant in Swahili.  We switch to a language that the person will understand, so we accomodate them.","It is to accommodate them.  Because if- if I cannot accommodate you, then I'll not be communicating [uncertain transcription].  For example, I have- if I have a friend who is a- who is a non-speaker of English or Swahili, and I'm with friends who are all speaking English.   That person will have problems if I don't consider them in that con- conversation.  They'll be left out.  But maybe, I'll- I'll now start, uh, to- talking to him, ""This guy has said this:""  I try to translate.  But if we are all speakers of Swahili, then somebody who is speaking English- Okay, let's assume you all know English and Swahili, but we were speaking Swahili.  Then somebody joins us who is not conversant in Swahili.  We switch to a language that the person will understand, so we accomodate them.",,,Interviewer says some 'mhhs'  and 'okays' throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"So at the end of the days, to accommodate so that you communicate.","So at the end of the days, to accommodate so that you communicate.",,,,,,,,
,,Ronald,,So that you communicate.,So that you communicate.,,,,,,,,
,,Interviewer,,Cause the aim of language is?,Cause the aim of language is?,,,,,,,,
,,Ronald,,Communication.,Communication.,,,,,,,,
,Have You Ever Tried To Change The Way You Speak?,Interviewer,,Okay.   <Swahili label='addressee specification'>Ushai jaribu ku</Swahili label='addressee specification'> change <Swahili>vile unaongea</Swahili>? ,Okay.   <English>Have you ever tried to</English> change <English>the way you speak</English>? ,CS,Unmarked.,,,,,,
,,Ronald,,Mhh…,Mhh…,,,,,,,,
,,Interviewer,,Know we have styles [uncertain transcription] why?,Know we have styles [uncertain transcription] why?,,,,,,,,
,,Ronald,0:23:35,"Aaaah…Ha ha(Laughs).  Wow.  Depends on the people you are with, the setting also, yeah.  <Swahili>Kama niko na marafiki wanaongea</Swahili> some kind of English, where- where <Swahili>kuna English kuitwa kuweng</Swahili>, talking like- like the <Swahili>mzungu</Swahili> now.  <Swahili>Sita jiweka</Swahili> [uncertain transcription] (interviewer laughs).  <Swahili>Mi pia</Swahili> English <Swahili>yangu tu ni ile ya kawaida</Swahili>.  I'll change it a little bit.  <Swahili>Naona kama ni</Swahili> pronouncing some words in way I've never tried.  (Interviewer chuckles).  I'll really try it's hard.  So that I'll also accord myself some status to be in that group, to fit in that group.","Aaaah…Ha ha(Laughs).  Wow.  Depends on the people you are with, the setting also, yeah.  <English>If I am with my friends they speak</English> some kind of English, where- where <English>kuna English that's called to 'weng'</English>, talking like- like the <English>white person</English> now.  <English>I won't put myself</English> [uncertain transcription] (interviewer laughs).  <English>I also</English> English <English>of mine is just that regular one</English>.  I'll change it a little bit.  <English>I think it's like</English> pronouncing some words in way I've never tried.  (Interviewer chuckles).  I'll really try it's hard.  So that I'll also accord myself some status to be in that group, to fit in that group.",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"Let's say you find some people <Swahili label='high distance'>waki- wakienda huko ng'ambo, wanarudi kama washa</Swahili label='high distance'>develop  that accent.  So they try talking like the people they were interacting with.","Let's say you find some people <English>when they-when they go abroad, when they come they have already</English> develop[d] that accent.  So they try talking like the people they were interacting with.",CS,SM: High distance.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Ee. ,Ee. ,,,,,,,,
,,Ronald,,Yes.,Yes.,,,,,,,,
,What Topics Do You and Your Friends Discuss These Days?,Interviewer,,"Mhh.  Okay.  And eh, what are some of the issues as a new <Swahili label='modernization'>bonga nyinyi siku hizi na kwa mabeste</Swahili label='modernization'>?","Mhh.  Okay.  And eh, what are some of the issues as a new <English>what do you all speak these days with your best friends</English>?",CS,SM: Modernization.,,,,,,
,,Ronald,,<Swahili>Ma beste</Swahili>?,<English>Best friends</English>?,,,,,,,,
,,Interviewer,0024:47,"Mhh.  <Swahili>Kwanza tuanzie na</Swahili> males.  <Swahili>Unajua</Swahili> some- sometimes [uncertain transcription] <Swahili label='modernization'>bonga na</Swahili label='modernization'> males, [uncertain transcription] <Swahili label='modernization'>tena mna bonga na</Swahili label='modernization'> [uncertain transcription]","Mhh.  <English>First let's start with</English> males.  <English>You know</English> some- sometimes [uncertain transcription] <English>speaking with</English> males, [uncertain transcription] <English>and then you speak with</English> [uncertain transcription]",CS,SM: Modernization.,,,,,,
,,Ronald,,"Yes.  Sure, sure.  In terms of events, apart from gender, I can be with my male friends, but there are some things I can s- I can chat with <Swahili>na huyu mmoja na huyu mwingine siwezi ongea nae</Swahili>.  So it depends on person's preferences.  <Swahili>Kama huyu jamaa hapendi kuongea</Swahili> about, let's say chicks, <Swahili>siwezi anza kuongea nae</Swahili> a topic he's not comfortable in.  Maybe <Swahili>tuanze kuongea biashara.  Na nilikuwa na wa- jamaa</Swahili>, he's not even business-minded, <Swahili>hana</Swahili> those entrepreuneral ideas, <Swahili>siwezi anza kumwambia</Swahili> my business ideas, yet he's telling me about a chick he saw somewhere.  Yeah, so, it depends on the personalities.  But mainly the guys talk about ladies, we talk about money, they talk about uh...generally their future, how they'll succeed, how they are going to have that- that money.  But [uncertain transcription] it's all about money.  How they are going to have money in order to have a car, so that when they have this money, they'll win this lady.  Yeah.","Yes.  Sure, sure.  In terms of events, apart from gender, I can be with my male friends, but there are some things I can s- I can chat with <English>with this one and this other one I can't speak with him</English>.  So it depends on person's preferences.  <English>If this guy doens't like to talk</Swahili> about, let's say chicks, <English>I can't start speaking with him</English> a topic he's not comfortable in.  Maybe <English>let's start talking business. And I was with some guy</English>, he's not even business-minded, <English>he doesn't have</English> those entrepreuneral ideas, <English>I can't start telling him</English> my business ideas, yet he's telling me about a chick he saw somewhere.  Yeah, so, it depends on the personalities.  But mainly the guys talk about ladies, we talk about money, they talk about uh...generally their future, how they'll succeed, how they are going to have that- that money.  But [uncertain transcription] it's all about money.  How they are going to have money in order to have a car, so that when they have this money, they'll win this lady.  Yeah.",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,What about females?,What about females?,,,,,,,,
,,Ronald,0:26:07,[When] with females now... sentimentalist.,[When] with females now... sentimentalist.,,,,,,,,
,,Interviewer,,(Laughs.  Ronald joins her in laughing),(Laughs.  Ronald joins her in laughing),,,,,,,,
,,Ronald,,"Okay, actually, not all of them, but…Mainly when you- when you are having that conversation, they'll tell you about, maybe their love life, they'll tell you about something they- they airing someone.  Maybe they've seen a dress, they've seen this new hairstyle, they've seen this uh... this fantastic romantic movie, something that will touch on the emotions.  Yeah and maybe... also about their future because they on that security.","Okay, actually, not all of them, but…Mainly when you- when you are having that conversation, they'll tell you about, maybe their love life, they'll tell you about something they- they airing someone.  Maybe they've seen a dress, they've seen this new hairstyle, they've seen this uh... this fantastic romantic movie, something that will touch on the emotions.  Yeah and maybe... also about their future because they on that security.",,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,0:26:49,"Mhh, so, <Swahili>mi nataka kuwaeleza</Swahili> [uncertain transcription] future yao [uncertain transcription]. ","Mhh, so, <English>I want to explain to them</English> [uncertain transcription] future yao [uncertain transcription]. ",CS,Unmarked.,,,,,,
,,Interviewer,,"Mhh.  <Swahili>Kwa nini unafikiria watu ongee</Swahili> especially eh- it's- those are the [uncertain transcription] (Ronald laughs) whether <Swahili>ni</Swahili> relationship, <Swahili>ama ni hiyo pesa, kama ni ma</Swahili> <Sheng>dames</Sheng> [uncertain transcription] sundress, <Swahili>kwa nini sasa</Swahili>?","Mhh.  <English>Why do you think people speak</English> especially eh- it's- those are the [uncertain transcription] (Ronald laughs) whether <English>ni</English> relationship, <English>or it's that money, if it's the</English> <English>ladies</English> [uncertain transcription] sundress, <English>why now</English>?",CS,Unmarked.,"Ronald says some ""ehs and ahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,,You'll find people rarely talk about something-,You'll find people rarely talk about something-,,,,,,,,
,,Interviewer,,Es- ka- <Swahili>kwanza ya</Swahili> books-,Es- ka- <English>first of</English> books-,CS,Unmarked.,,,,,,
,,Ronald,,<Swahili>kama</Swahili> politics-,<English>if</English> politics-,CS,Unmarked.,,,,,,
,,Interviewer,,<Swahili>ama</Swahili> books.,<English>or</English> books.,CS,Unmarked.,,,,,,
,,Ronald,,<Swahili>Ama</Swahili> books.,<English>Or</English> books.,CS,Unmarked.,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,,,,,,,,,,,,
,,Ronald,,"<Swahili>Hee utaanza kuongea na mtu ambao uta</Swahili>- that course your taking.  You'll talk for- you'll talk about it maybe for five minutes, but you'll not extending to even fifteen minutes talking about-","<English>Hee, you will start to talk with a person who you will</English>- that course your taking.  You'll talk for- you'll talk about it maybe for five minutes, but you'll not extending to even fifteen minutes talking about-",CS,Unmarked.,,,,,,
,,Interviewer,,Story <Swahili>isha isha</Swahili>?,Story <English>and then and then</English>?,CS,Unmarked.,,,,,,
,,Ronald,,"It's boring <Swahili>bana</Swahili>.  (Interviewer chuckles) <Swahili>Utasikia tu jamaa hapa, na huyo jamaa anaamb- anaongea tu</Swahili> about class, class, class, class. (Interviewer chuckles).  <Swahili>Watu wanapenda vitu inawafurahisha</Swahili>.  Things to do with happiness, things that will give them memories of the past maybe.  But also in memories about happy things they- about experiences they've had, but outside classwork.  Because people like to have fun.  So when you introduce things [uncertain transcription] to do with thinking, to do with mental thinking-","It's boring <English>man</English>.  (Interviewer chuckles) <English>You will just here this guy here, and that guy he-he just speaks</English> about class, class, class, class. (Interviewer chuckles).  <English>People like things that amuse them</English>.  Things to do with happiness, things that will give them memories of the past maybe.  But also in memories about happy things they- about experiences they've had, but outside classwork.  Because people like to have fun.  So when you introduce things [uncertain transcription] to do with thinking, to do with mental thinking-",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,<Swahili>Watu wataki</Swahili>.,<English>People don't want</English>.,CS,Unmarked.,,,,,,
,,Ronald,,<Swahili>Watu wataki sana</Swahili>.  Mhh.,<English>People don't want a lot</English>.  Mhh.,CS,SM: Accomodation.,,,,,,
,Does Sheng Have a Future?,Interviewer,,Comment on Sheng.  Do you think about Sheng?,Comment on Sheng.  Do you think about Sheng?,,,,,,,,
,,Ronald,,Mhh…,Mhh…,,,,,,,,
