Topic,Participant ,ln,  ,Translation,Dm/Ds,Comments
Language and Family,Interviwer,OO.00,Thank you for your time for making time to be with me for this converasation and language use.,Thank you for your time for making time to be with me for this converasation and language use.,,
,Samantha 2,,<Swahili> Nimeelewa.,<English> I have undersand.,,
,Interviwer,,"Yah, tell me what language do you specifially do use with your family.","Yah, tell me what language do you specifially do use with your family.",,
,Samantha 2,,"My family being that <Swahili> mimi ni Mgiriama (tribe) huwanatumia Kigiriama(Languege) yah, ambayo ni Kimijikenda.","My family being that <English>I am a Mgiriama (tribe) I usually  use Kigiriama(Languege) yah, that is Kimijikenda.",,
,Interviwer,,"So that is, you would be using that with your parents.","So that is, you would be using that with your parents",,
,Samantha 2,,"Yah, (agree) mostly, mostly my mum but <Swahili> sana sana nikuwa na dad huwanatumia Kiswahili.","Yah, (agree) mostly, mostly my mum but <English> mosty when am with dad I often use Swahili.",,
,Interviwer,,"Why, <Swahili> kwanini mum hutumie Kigiriama </Swahili> and then your father Swahili.","Why, <English> why use Kigiriama with mum </English> and then your father Swahili.",,
,Samantha 2,,<Swahili> Tumelelewa hivyo...(interrupted),<English> We have been brought up like that…(interrupted),,
,Interviwer,,"Are they both, are they both Giriamas?","Are they both, are they both Giriamas?",,
,Samantha 2,,"Yah (agree) all of them, eeeh! <Swahili> Sasa tumelelewa hivyo tumezoea kuongea na dad Kiswahili </Swahili> but although sometimes <Swahili> hutumia Kigiriama but sana sana huwa na dad hutumia kiswahili ama kingereza </Swahili>  and then mum <Swahili> huwa mum tunatumia lugha ya nyumbani.</Swahili>","Yah (agree) all of them, eeeh! <English> so we have are brought up like that we are used talking with dad Swahili </English but although sometimes <English> he use Kigiriama but most of the time he use Swahili or English </English> and then mum <English> mum often use native language.",,
,Interviwer,,"<Swahili> Na </Swahili> brothers, sisters what do you use.","<English> And </English> brothers, sisters what do you use.",,
,Samantha 2,,Brothers Kigiriama.,Brothers Kigiriama.,,
,Interviwer,,"Kigiriama Eeeh, you use Swahili with your dad <Swahili> lakini </Swahili> Kigiriama with them.","Kigiriama Eeeh, you use Swahili with your dad <English>but </English> Kigiriama with them.",,
,Samantha 2,,"Yes, <Swahili> na brothers wangu sana sana tunatumia Kigiriama eeh! Yah.","Yes, <English> and mostly brothers we use Kigiriama eeh! Yah. ",,
,Interviwer,,"Ok, <Swahili> na wale </Swahili> friends at home","Ok, <English> and those </English> friends at home.",,
,Samantha 2,,"Friends at home, Swahili.","Friends at home, Swahili.",,
,Interviwer,,Any English at all.,Any English at all.,,
,Samantha 2,,<Swahili> Eeeh (agree) kiasi.,<English> Eeeh (agree) a bit.,,
,Interviwer,,<Swahili> kiasi.,<English> A bit.,,
,Samantha 2,,<Swahili> Wale ambao </Swahili> maybe <Swahili> wako </Swahili> educated <Swahili> kidogo </Swahili> maybe <Swahili> nitatumia kingereza </Swahili> sometimes <Swahili> hapa na pale.,<English> Those </English> maybe <English> who are </English> educated <English> a little bit </English> maybe <English> I will use English </English> sometimes <English> here and there.,,
,Interviwer,,<Swahili>  Ni wale wako nyumbani kawaida.,<English> They are those who are at home often.,,
,Samantha 2,,<Swahili> Wataona ni nyumbanitu kawaida sana sana ni Kiswahili ama Kigiriama eeh.,<English> They will see it's only often at home mostly it’s Swahili or Kigiriama eeh.,,
,Interviwer,,So that area <Swahili> ni ya wagiriama.,So that area <English> is for the Giriama.,,
,Samantha 2,,As in <Swahili> kama mahali naishi ni Lamu(place) tunaishi na waswahili </Swahili> but still <Swahili> kuna wagiriama </Swahili> around yah.,As in <English> like where I live in Lamu(place) we live with Muslims </English> but still there are <English>Giriama </English> around yah.,,
,Interviwer,,<Swahili> Na wale waswahili </Swahili> what do you use with them coz am sure you have some Swahili friend.,<English> And those Muslims </English>  what do you use with them coz am sure you have some Swahili friend.,,
,Samantha 2,,<Swahili> Tunatumiatu…(interrupted) </Swahili> most of them by the way<Swahili>  ni waswahili sasa tunatumia Kiswahili sana sana. ,<English> We use …(interrupted) </English> most of them by the way <English> they are now Muslims we use Swahili more often. ,,
,Interviwer,,"<Swahili> Na Kiswahili chako na chao, </Swahili> is it the same Swahili or is it <Swahili> tofauti.","<English> And your Swahili and theirs, </English> is it the same Swahili or is it <English> different. ",,
,Samantha 2,,"<Swahili> Iko tofauti </Swahili> as in<Swahili>  kama mimi ile Kiswahili saa hii natumia hapa ni tofauti na ile natumia nyumbani. Sasa kama home, tunatumia Kibajuni (native dialect). (both laugh).","<English> It's different </English> as in <English> like me that Swahili I often use now is different with that I use at home. If it's at home, we use Kibajuni (native dialect). (both laugh).",,
,Interviwer,,"Bajuni is now a dialect on Swahili, <Swahili> na  ya hapa ni gani, ama hii ni ya bara?</Swahili> ","Bajuni is now a dialect on Swahili, <English> and what about for here or this is for country?",,
,Samantha 2,,Yah (agree) hii ni ya bara </Swahili> we can say <Swahili> ni ya bara kama hapa </Swahili> maybe <Swahili> utatumia </Swahili> some <Swahili> shegg hapa na pale kizungu hapa na pale </Swahili> but <Swahili> kama </Swahili> home <Swahili> ile community….(interrupted) ,Yah (agree) <English> this is for country </English> we can say <English> this is for country like here </English> maybe <English> you will use </English> some <English> Slang here and there English here and there </English> but <English> if it's at </English> home <English> that </English> community….(interrupted) ,,
,Interviwer,,<Swahili> Kwa hivo unaelewa Sheng.,<English> So you understand Slang.,,
,Samantha 2,,"<Swahili> Sheng sijuhi sana hivo  </Swahili> but since <Swahili> nikuje hapa nimeshika zingine eeh!</Swahili> But <Swahili> kama nikiwa </Swahili> home <Swahili> huwa natumia sana sana kama </Swahili> maybe <Swahili> narelate na wale, ile </Swahili> community <Swahili> ambayo imetuzunguka </Swahili> called Wabajuni eeh! <Swahili> Sasa huwa natumia Bajuni yao huwa natumia Kibajuni.","<English> I don't know Slang that much </English> but since <English> coming here I have learned others eeh! </English> But <English> when I am at </English> home <English> I often mostly use if </English> maybe <English> I relate with others, that </English> community <English> that have suround us </English> called Wabajuni eeh!<English> now I use their Bajuni I often use Kibajuni.",,
,Interviwer,,So you are fluent in Kibajuni.,So you are fluent in Kibajuni.,,
,Samantha 2,,Yah (agree) I can speak kibajuni very well.,Yah (agree) I can speak kibajuni very well.,,
,Interviwer,,<Swahili> Na </Swahili>  friends <Swahili> wako </Swahili> in school <Swahili> hapa </Swahili> campus.,<English> And with your </English> friends here in school  campus.,,
,Samantha 2,,"<Swahili> Hapa </Swahili>  campus <Swahili> sana sana tunatumia Kiswahili </Swahili> but not the pure Swahili, <Swahili> tunatumia Kiswahili ambayo iko na  Kizungu ndani na iko na sheng ndani eeh!","<English> Here in </English> campus <English> we mostly use Swahili </English> but not the pure Swahili, <English> we use Swahili that has English inside and Sheng inside eeh!",,
,Interviwer,,why do you do that?,why do you do that?,,
,Samantha 2,,"<Swahili> Sana sana wenye naongea nao wamezoa Sheng, sasa kama mimi mwenye nimetoka Coast (place in Kenya near Indian Ocean)  sijuhi Sheng sana hivyo ju Coast huwa hakuna Sheng.","<English> Mostly those I talk to speak are used to Slang, now for me from Coast  (place in Kenya near Indian Ocean)  I don’t  Slang that much coz Coast normaly have no Slang.",,
,Interviwer,,"<Swahili> Kama ni Kiswahili ni Kiswahili kama ni Kingereza ni Kingereza,</swahili> though <Swahili> Kingereza si vile sana. ",<English> If it's Swahili it's Swahili if it's English it's English </English> though <English> English is not that much mostly.,,
,Samantha 2,,Eeeh! (agree) <SwahiliDubious> Kingereza si sana. Sasa kama nikikuja huku watu ambao huwa narelate na hao sana sana wanajua Sheng </SwahiliDubious> so <Swahili> nitachanganya Sheng na Kiswahili ata hao wenyewe </Swahili> as in <Swahili> nikitumia Kiswahili </Swahili> pure <Swahili> kabisa </Swahili> maybe <Swahili> inaweza kuwapa shinda </Swahili> so <Swahili> inabidi nichanganye Kingereza na Kiswahili na Sheng ndio waelewe tunaweza </Swahili> communicate <Swahili> vizuri. </Swahili>,Yes (agree) <English> English is not more often. Now when I come here people who I usually relate with them mostly know Slang </English> so <English> I will mix Slang and Swahili even them also </English> as in <English> I will use Swahili </English> pure <English> very much </English> maybe <English> it can give them problem </English> so <English> I have to mix English with Swahili and Slang so that they can understand  that we can </English> communicate <English> very well.,,
,Interviwer,,<Swahili> Na hao pia inabidi wa mix pia ndio uelewe wakituma </Swahili> pure <Swahili> utaelewa.,<English>Even them also have to mix so that you can understand when they use </English> pure <English> you will understand.,,
,Samantha 2,,<Swahili> Kuna zingine zinaweza nipita.,<English> There are others that may pass me.,,
,Interviwer,,<Swahili> zinaweza kupita?,<English> It can pass?,,
,Samantha 2,,<Swahili> Sasa hao pia wanaelewa.,<English> So even them understand.,,
,Interviwer,,Do you think it's important to know English?,Do you think it's important to know English?,,
,Samantha 2,,Yah. (agree),Yah. (agree),,
,Interviwer,,"why is it important you are like ""yah"" you seems you are not sure is it important especially for somebody like coming from Coast <Swahili> mahali ambapo Kiswahili </Swahili> is everything is it important. ","why is it important you are like ""yah"" you seems you are not sure is it important especially for somebody like coming from Coast <English> where Swahili </English> is everything is it important. ",,
,Samantha 2,,<Swahili> Yaani Kiswahili ndio kila kitu huko </Swahili> but <Swahili> sasa  </Swahili> when it come to <Swahili> kama kusoma hivi kama shuleni utaona </Swahili> most of the subjects <Swahili> ziko kwa </Swaahili> English <Swahili> hata utaona kama huku hata kama ni za Kiswahili huwa tunaona </Swahili> title still <Swahili> iko </Swahili> in English.,<English> So Swahili is everything there </English> but <English> now </English> when it comes to <English> like reading you will see </English>  most of the subjects <English> are in </English> English <English>  even you will see even if it's for Swahili we often see </English> title still <English> is </English> in English.,,
,Interviwer,,"I have a friend from Coast <Swahili> aliniambia hao </Swahili> what they had a nice discussions they usually….<Swahili> hata kama ni </Swahili> subject <Swahili> ya </Swahili> English, Chemistry <Swahili>na nini </Swahili> they do it in Swahili is it true?","I have a friend from Coast <English> who told me </English> that they had a nice discussions they usually….<English> even if it's a </English> subject <English> of </English> English, Chemistry <English> and what </English> they do it in swahili is it true?",,
,Samantha 2,,Eeeh! (agree) you can do it in Swahili but </Swahili>  unaona kama kuna vitu zingine huwezi kutumia Kiswahili </Swahili> maybe <Swahili> kama unadiscuss </Swahili> something maybe <Swahili> inaweza kutumia Kiswahili kuelezea kitu </Swahili> but still <Swahili> venye mtakuwa munasoma mutakuwa munasoma kwa Kingereza. ,Yes (agree) you can do it in Swahili but <English> you see if there are other things that you can not use Swahili </English> maybe <English> if you discuss </English> something maybe <English> you can use Swahili to talk about something </English> but still <English> they way you will studying you will be reading in English. ,,
,Interviwer,,"<Swahili> Na kuandiaka pia mtihani ama nini, </Swahili> you have to do it in English. So you think it's important <Swahili> kwasababu ya masomo.","<English> Even also writing exams or what, </English> you have to do it in English. So you think it's important <Swahili> kwasababu ya masomo.",,
,Samantha 2,,<Swahili> Kwasababu ya masomo </Swahili> and still maybe <Swahili> hata unaona </Swahili> maybe <Swahili> unaweza kurelate na mtu </Swahili> from abroad eeeh! <Swahili> Kama unajua </Swahili> maybe  <Swahili> Kiswahili peke yake itakuwa vigumu sana ….(Interrupted),<English> Because of studies </English> and still maybe <English> even you see </English> maybe <English> you can relate with a person </English>  from abroad eeeh! <English> if you know </English> maybe <English> Swahili only it will be very hard...(Interrupted),,
,Interviwer,,Especially <Swahili> kwa ..(not clear) kuna</Swahili> a lot of ...(not clear),Especially <English> at….(not clear) there are <English> a lot of ...(not clear),,
,Samantha 2,,"Eeeh! (agree) <Swahili> sasa huko </Swahili> as in <Swahili> watu wanasoma pia Kingereza kiasi </Swahili> at list <Swahili> ata uweze kurelate na mtu, mtu mwenye hajuhi Kiswahili </Swahili> and then <Swahili> pia kama </Swahili> maybe <Swahili> kuna kama hizi </Swahili> jobs <Swahili> mob zenye ziko huku sana sana huwa language inatumika  huwa ni Kingereza </Swahili> so at list <Swahili> ni lazima ukuwe </Swahili> secured <Swahili> na </Swahili> job.","Eeeh! (agree) <English> so there </English> as in <English> people also study English a bit </English> at list <English> so that you can relate with people, somebody who doesn't know Swahili </English> and then <English> if also </English> maybe <English> there are like these </English> many jobs <English> that are found mostly here in that language used is mostly English </English> so at list <English> it's a must that you are </English> secured <English> with <English> job.",,
,Interviwer,,But <Swahili> kuna zile </Swahili> jobs <Swahili>  pia tu Kiswahili </Swahili> is enough and you get along.,But <English> There are those <English> jobs <English> also Swahili </English> is enough and you get along.,,
,Samantha 2,,"Eeeh! (agree) but at list <Swahili> in lazima ukuwe </Swahili>  secured <Swahili> siyo usingline peke yake kama mimi nafanya </Swahili> media <Swahili> niseme nanitaenda nikuwe na </Swahili> broadcast <Swahili> Kiswahili, lazima ni kuwe na </Swahili> clue <Swahili>  ya Kiswahili na Kingereza.","Eeeh! (agree) but at list <English> you must be </English> secured <English> not you only singline if I am doing </English> media <English> say I will go </English> broadcast <English> Swahili, I must have a </English> clue <English> of Swahili and English.",,
,Interviwer,,<Swahili> Niseme labda uandikwe kazi Radio Bahari ama Radio... </Swahili> What do we call ...(interrupted),<English> Say maybe am hired in Radio Bahari or Radio…</English> What do we call ...(interrupted),,
,Samantha 2,,Pwani Fm.,Pwani Fm.,,
,Interviwer,,<Swahili> Unahitaji Kingereza? ,<English> Do you need English.,,
,Samantha 2,,"<Swahili> Huitaji, </Swahili> but <Swahili> hutaitaji </Swahili> maybe <Swahili>  wakati unawork </Swahili> but <Swahili> kuna watu </Swahili> maybe <Swahili>  wanakuja kwa ofisi </Swahili>  still <Swahili>  unataka kurelate na wao na </Swahili> maybe <Swahili> hawajuhi Kiswahili sasa lazima huwa unajuwa Kingereza yah.","<English> You don't need, </English> but <English> you will need </English>  maybe <English> when you are working </English> but <English> there are people </English> maybe <English> they are coming to an office </English>  still <English> want to relate with them and </English> maybe <English> they don't know Swahili now you must be knowing English yah. ",,
Native Language ,Interviwer,,<Swahili> Na lugha ya mama?  </Swahili> do you think it is important for anyone to know that.,<English> And mother tounge? </English> do you think it is important for anyone to know that.,,
,Samantha 2,,Heh! <Swahili> Hiyo ni lazima.. (both laugh),Heh! <English> That is a must…(both laugh) ,,
,Interviwer,,<Swahili> Hiyo ni lazima Kigiriama ni lazima.,<English> That is a must Kigiriama is a must.,,
,Samantha 2,,<Swahili> Lazima nijuwe Kigiriama.,<English> I must know Kigiriama.,,
,Interviwer,,<Swahili> Kwanini </Swahili> why?,<English> Why </English> why,,
,Samantha 2,,"<Swahili> Kwanza nikuwe identified kama Mgiriama </Swahili> maybe <Swahii>  nikienda mahali nikiongea Kigiriama nikiongea watu watajua huyu ni Mgiriama, na pia </Swahili> at list <Swahili> nikienda back home nisikuwe </Swahili> left out maybe <Swahili> utapata watu wakiongea Kingiriama na mimi </Swahili> maybe <Swahili>sijuhi Kigiriama na mimi najiita Mgiriama.","<English> First, to be </English> identified <English> like a Giriama </English> maybe <English> when I go somewhere when I talk Kigiriama when I talk Kigiriama people will know this is a Giriama, and aslo </English> at list <English> when I go </English>back home <English> I won't be </English> left out maybe <English> you will find people talking Kingiriama with me </English> maybe <English> I don't know Kigiriama and I call myself a Giriama.",,
,Interviwer,,But <Swahili> wanajua Kiswahili </Swahili> they can also talk <Swahili> Kiswahili na kuelewa.,But <English> they know Swahili </English> they can also talk <English> Swahili and understand.,,
,Samantha 2,,"But maybe <Swahili> si wote wanajua Kiswahili unaona kama ukienda shamba kabisa upatane na wale  nyanya wa zamani utapata hawajuhi Kiswaili, Swahili yenyewe wanajifunza </Swahili> so <Swahili> sana sana wanatumia Kigiriama </Swahili> so <Swahili>  hamutaelewana.","But maybe <English> not all know Swahili you see when you go deep rural village then meet with old grandmothers you will get to know they don't know Swahili, they are learning Swahili </English> so <English> mostly they use Kigiriama </English> so <English> you won't understand. ",,
,Interviwer,,So there actually kuna people in the Coast wenye hawajuhi Kiswahili.,,,
,Samantha 2,,"Eeeh (agree) <Swahili> Kuna wenye hapa hawajuhi Kiswahili </Swahili> lets say <Swahili> kama hiyo </Swahili> community <Swahili> ya </Swahili> the Bajuni community <Swahili> wa Swahili wao </Swahili> obvious <Swahili> wanajua Kiswahili </Swahili> but upate <Swahili> kama Pokomo, Mgiriama, Mtataita utapata wengine hawajuhi Kiswahili.","Eeeh (agree) <English> There are others here who doesn't know Swahili </English> lets say <English> like that </English> community <English> of </English> the Bajuni community <English> their Swahili is </English> obvious <English> they know Swahili </English> but upate <English> like Pokomo, Mgiriama, Mtaita <English> you will find others who don't know Swahili.",,
,Interviwer,,"So Mijikenda is like, what is it a language <Swahili> ama ni kama </Swahili> community..(not clear)","So Mijikenda is like, what is it a language <English> or it's like </English> community..(not clear)",,
,Samantha 2,,Mijikenda is a community and then <Swahili> ndani yake kuna </Swahili> tribes.,Mijikenda is a community and then <English> inside has </English> tribes.,,
,Interviwer,,"Giriama, Pokomo…(interrupted)","Giriama, Pokomo…(interrupted)",,
How Swahili Came up to be a Language in the kenyan Coast.,Samantha 2,,"Aaah.. (disagree) <Swahili> wapokomo ni tofauti eeh.. Kama Coastal bantus wako watatu, </Swahili> the <Swahili> Wamijikenda, Wataita, na Wapokoma </Swahili> but still <Swahili> sasa hao ndio wameweka </Swahili> as in <Swahili> hao Waswahili juu Swahilitu ilikuja </Swahili> after, orginally <Swahili>ilikuwa hao watatu </Swahili> but then after <Swahili> hao Waharabu kucome hapo ndio kukatokea Kiswahili.</Swahili>","Aaah.. (disagree) <English> the Pokomo is different eeh.. like Coastal bantus there are three, the  Wamijikenda, Wataita, and  Wapokoma </English> but still </English> so them have kept </English> as in <English> those Muslims because Swahili came </English> after, orginally <English> it was them three </English> but then after <English> them Arabs came there thats how Swahili came up.",,
,Interviwer,,<Swahili> Sasa </Swahili> within the Mijikenda group which are this tribes.,<English> Now </English> within the Mijikenda group which are this tribes.,,
,Samantha 2,,"We have the Wagiriama,we have Wajibana…(Interrupted)","We have the Wagiriama,we have Wajibana…(Interrupted)",,
,Interviwer,,Dominant Wagirima..,Dominant Wagirima..,,
,Samantha 2,,Eeeeh (agree) Wagiriama <Swahili> sasa hao ndio wengi.,Eeeeh (agree) Wagiriama <English> Now those are many. ,,
,Interviwer,,<Swahili> Na ulikuwa umesema.,<English> And what had you said.,,
,Samantha 2,,Wajibana.,Wajibana.,,
,Interviwer,,"Wajibana, <Swahili> hawa siwajuhi.","Wajibana, <English> I don’t know them. ",,
,Samantha 2,,"<Swahili> Kuna wachoni, Wandigo.","<English> There is wachoni, Wandigo.",,
,Interviwer,,<Swahili> Na munaelewana kilugha?,<English> And do you understand each other linguistically? ,,
,Samantha 2,," Eeeeh (agree)<Swahili>  wakiongea </Swahili> although as in different <Swahili> yaani kuna </Swahili> different <Swahili> ni kidogo sana kama sisi tutaita mama 'mama"" wakiwa Wataita wataita  ""mayo"" </Swahili> but still <Swahili> tunaelewana vitu mob tunaelewana </Swahili> so <Swahili> kama Mchoni akuje hapa aongee hakuna kitu itanipita eeh."," Eeeeh (agree) <English> When they talk </English> although as in different <English> meaning there is </English> different <English> it's very few like us we call mother ""mama"" when it's the Taita they will call it ""mayo"" </English> but still <English> we understand each other in many things </English> so <English> if Mchoni ( tribe) comes here and talk I will not miss anything eeh. ",,
,Interviwer,,<Swahili> Na yeye akiongea Kigiriama kuna kitu itampita.,<English> And when he/she speaks Kigiriama is there anything that he /she will miss.,,
,Samantha 2,,<Swahili> Hakuna ataelewa kila kitu chenye nitaongea.,<English> No he/she will understand everthing that I will say.,,
,Interviwer,,<Swahili> Kwa hivyo </Swahili> so we can have one….(both laugh)..which is the Chonyi just choose the Chonyi that speaks the Chonyi <Swahili> sini sawa ama unataka Kigiriama.,<English> Therefore </English> so we can have one….(both laugh)..which is the Chonyi just choose the Chonyi that speaks the Chonyi <English> it's same or you want Kigirama.,,
,Samantha 2,,<Swahili> Kama sasa mimi nishazoea Kigiriama sana sana Kichoni (native language) naweza sikia </Swahili> but maybe <Swahili> kuna majina kidogo najuwa lakini siwezi pata ile venye huwa wanaongea kabisa eeh sasa venye mimi nimezaliwa kwa Wagiriama ndio sasa najua kabisa </Swahili> completely.,<English> Like now for me I am used to Kigiriama very much I can hear Kichoni ( native language) </English> but maybe <English> there are small names that I know but I can't the way they talk eeh now where I am born at the Giriama is what I know very much </English>  completely.,,
,Interviwer,,You are very fluent <Swahili> hakuna kitu itakupita.,You are very fluent <English> nothing will pass you.,,
,Samantha 2,,<Swahili> Hakuna.,<English> No.,,
,Interviwer,,"<Swahili> Ataukiishi huku </Swahili> for the next ten, twenty years.","<English> Even if I live here </English> for the next ten, twenty years.",,
,Samantha 2,,<Swahili> Sidhani kama naweza kusahau </Swahili> for the time been <Swahili> tangu nikuwe mdogo nimelelewa kwa Wagiriama nasikia Kigiriama inaongelewa nikajifunza Kigirama unaona sasa. ,<English> I don’t think I can forget </English> for the time been <English> since when I was young have been brough up at the Giriama and I hear Kigiriama been spoken I learned Kigiriama you see now. ,,
,Interviwer,,<Swahili> Kunawagiriama huku </Swahili> campus <Swahili> wengine?,<English> Are there other Giriama here in </English> campus. ,,
,Samantha 2,,<Swahili> Wako lakini si wengi lakini…(interrupted) ,<English> There are there but not many but….(interrupted),,
,Interviwer,,<Swahili> Ninyi huongea Kigiriama mkimeet ama huku wanajifanya sana hawajuhi Kigirama.,<English> Do you always speak in Kigirama when you meet or they show-off very much or they don’t know Kigiriama.,,
,Samantha 2,,(Laugh)  Aahh.(disagree) <Swahili> nikipatana na wao sisi huongea Kigiriama eeeh huwa tunaongea Kigiriama.,(Laugh)  Aahh.(disagree) <English> When I meet with them we talk in Kigiriama eeeh we always speak in Kigiriama.,,
,Interviwer,,"Ok, but mostly <Swahili> hapa mnatumia Sheng Kiswahili ama Kigiriama ama Kingereza.","Ok, but mostly <English> Do you here use Slang Swahili or Kigiriama or English. ",,
,Samantha 2,,<Swahili> Eeeh (agree) lakini hapa yani kwa </Swahili> parts <Swahili> tofauti tofauti </Swahili> maybe <Swahili> tumekutana na Mjaluo nimekutana na Mkalenjin ndio nitatumia hiyo lakini sana sana huwa nikituna na Mgiriama ama Mijikenda yeyote yule tutaongea Kimijikenda ile ndio ni </Swahili> feel at list <Swahili> nikumbuke ooh..(both laugh) , Eeeh (agree) <English> but here meaning that at other </English> parts <English> different different </English> maybe <English> I have meet Jaluo I have meet with a Kalenjin that's when I will use that but mostly when I meet with a Giriama or any Mijikenda we will talk in a Mijikenda so that I can </English> feel at list <English>  I remember ooh..(both laugh),,
,Interviwer,,<Swahili> Nimesikia kwamba </Swahili> so many people from Coast <Swahili> wanatatizo na Kingereza </Swahili> is it true or is it just a steriotype.,<English> I have heard that </English>  so many people from Coast <English> have problem with English </English>  is it true or is it just a steriotype.,,
,Samantha 2,,(laughter)… Eeeh (agree) it's true yah.,(laughter)… Eeeh (agree) it's true yah.,,
,Interviwer,,What do you think it causes that?,What do you think it causes that?,,
,Samantha 2,,<Swahili> Kwanza ni </Swahili> ignorance <Swahili> sana sana watu wa kama Coast Kingereza haidhaminiwi sana </Swahili> and then <Swahili> venye umezaliwa kwa </Swahili>community <Swahili> ambao wanaongea sana Kiswahili sasa mtu anashika Kiswahili zaidi kuliko hata English eeeh.,<English> First it's </English>  ignorance <English> mostly people from Coast English is not mostly valued </English> and then <English> where you are born from </English> community <English> that speak mostly Swahili now a person learn more Swahili more than English eeeh. ,,
,Interviwer,,<Swahili> Lakini sisi ukicompare kama wale tuseme ni Waluhya </Swahili> anybody from this side of the country <Swahili> kwa pia wanagrow </Swahili> up in a community where their  mother toungue is spoken or whatever other language but <Swahili> ukikuja </Swahili> campus <Swahili> ukucompare </Swahili> performance <Swahili> yao ya </Swahili> English <Swahili> na wale </Swahili> from Coast still <Swahili> wako juu kwanini?.,<English> But when we compare if those lets say Luhya </English> anybody from this side of the country <English>  since they also grow up </English> in a community where their  mother toungue is spoken or whatever other language but <English> when you come to </English> campus <English> when you compare </English> their performance <English> of <English> English <English> with those </English> from Coast still <English> are above why?. ,,
,Samantha 2,,"Performance <Swahili> ya English ya watu bara na Coast, kama nilivyosema Coast </Swahili> English as in <Swahili> haidhaminiwi sana.","Performance <English> of English of people in the  country and Coast, like the way I said Coast </English> English as in <English> not valued that much.",,
,Interviwer,,<Swahili> Kwa hivyo watu wanaona kama Kiswahili </Swahili> is more prestigious. ,<English> Therefore people see like Swahili </English>  is more prestigious. ,,
