Name of the file,Topic,Participant,Time,Dialogue
/usr2/home/chuchenl/babel_sample.txt,,0,[0.000],and <hes> (()) nolusha
/usr2/home/chuchenl/babel_sample.txt,,1,[5.185],<no-speech> <sta> uyabo nje isivalo lakhala balibamba bebangisana lawa <breath> kusebusuku benza emunyango <no-speech> isivalo angangasibona sishonaphi usisi lo owayedlula wasinyathela
/usr2/home/chuchenl/babel_sample.txt,,0,[22.325],ngobani
/usr2/home/chuchenl/babel_sample.txt,,1,[24.885],ya <no-speech> mmhm osasho ngani ukuthi hello
/usr2/home/chuchenl/babel_sample.txt,,0,[29.295],hayi inethiwekhi yakho shuthi iyabheda ke ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[35.635],mmhm ngithi mina usisi bo ngoba ola ekhaya <no-speech> manje khona <sta> lento hawe manje khona into akayenzayo kufanele ngikufonele amaminute ayishumi ungalivali amaminute ayishumi engakapheli
/usr2/home/chuchenl/babel_sample.txt,,0,[47.585],<sta> soyixoxela nje <no-speech> ubuwenzani ke (())
/usr2/home/chuchenl/babel_sample.txt,,1,[62.175],uhuh ngithe mina mangabe lilokhuza ungalivali
/usr2/home/chuchenl/babel_sample.txt,,0,[67.765],angithi usuyezwa
/usr2/home/chuchenl/babel_sample.txt,,1,[70.305],mmhm wenzani ke lapho
/usr2/home/chuchenl/babel_sample.txt,,0,[74.015],ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[76.665],mmhm bayaphila inethiwekhi yakho ibuye ihluphe ekabani inethiwekhi ehluphayo <sta>
/usr2/home/chuchenl/babel_sample.txt,,0,[84.675],ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[88.615],mmhm kodwa ke njalo ungalivali njalo umangabe osangizwa ke ungalivali ngoba kukhona inamba okufanele ngizithole lana <sta> <no-speech> mosuqedile uyezwa
/usr2/home/chuchenl/babel_sample.txt,,0,[100.625],mmhm kukhona inamba okufuneka ngithole ungaluvali wena ucingo
/usr2/home/chuchenl/babel_sample.txt,,1,[105.645],ulokhu ukhuluma nje noma ungangizwa ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[112.185],mmhm bakhona bayaganga oSpha ngamanzi
/usr2/home/chuchenl/babel_sample.txt,,1,[117.285],baganga ngamanzi oSpha
/usr2/home/chuchenl/babel_sample.txt,,0,[124.315],ehhe <no-speech> ehhe usebuyile abuye later nyana nje
/usr2/home/chuchenl/babel_sample.txt,,1,[132.455],kade ngiqedile sengihlalele sengizovakashela kaMasithi
/usr2/home/chuchenl/babel_sample.txt,,0,[139.335],mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[145.245],hayi bo ngizokwenza lutho <laugh>
/usr2/home/chuchenl/babel_sample.txt,,0,[149.825],ngeke ngenze lutho
/usr2/home/chuchenl/babel_sample.txt,,1,[153.345],mmhm ngiyibo- mmhm ngiyibonile wenz- <no-speech> ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[164.465],mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[168.835],ohho okay yike
/usr2/home/chuchenl/babel_sample.txt,,0,[172.345],mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[174.475],uhuh uphuma isihlanu nanamhlanje <int>
/usr2/home/chuchenl/babel_sample.txt,,0,[178.855],<sta> uyezwa
/usr2/home/chuchenl/babel_sample.txt,,1,[183.165],uphuma isihlanu nanamhlanje <int>
/usr2/home/chuchenl/babel_sample.txt,,0,[187.775],<sta> mmhm wenzani lapho <no-speech> ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[195.955],<int> uhleli
/usr2/home/chuchenl/babel_sample.txt,,0,[197.825],ohho <sta> okay yike mmhm <no-speech> hawu ye hheni webantu uwena umuntu uyajabula <no-speech>
/usr2/home/chuchenl/babel_sample.txt,,1,[210.755],<sta> wathini loyo udoti <no-speech> useClemont kanti
/usr2/home/chuchenl/babel_sample.txt,,0,[222.505],<sta> uzophindela nini emuva <no-speech> mmhm <no-speech> hamba tshela uNtobe akuphakele iphalishi
/usr2/home/chuchenl/babel_sample.txt,,1,[233.965],<sta> ehhe <int> <no-speech> uzophindela ezinsukwini
/usr2/home/chuchenl/babel_sample.txt,,0,[242.855],uMsizi ufuna ngimphakele ipharishi nje uyangiphazamisa
/usr2/home/chuchenl/babel_sample.txt,,1,[247.385],<sta> (())
/usr2/home/chuchenl/babel_sample.txt,,0,[253.245],mmhm umakaNdu umakaNdu ngimtshelile <no-speech> wena uyabheda <sta> ngoba kuthiwa uyathengwa ubhasikidi <int> <no-speech> kuthiwa uyathengwa ubhasiki <no-speech>
/usr2/home/chuchenl/babel_sample.txt,,1,[266.935],<sta> uyezwa <no-speech> <int> mmhm kuthiwa uyathengwa ubhasikidi <no-speech> ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[278.525],<sta> uthe umakaNdu uyathengwa naye umakaThando akazi lutho uzwa ngoMa wakhe <int>
/usr2/home/chuchenl/babel_sample.txt,,1,[290.365],<sta> angazi ke ungathi <no-speech> angazi ke phela kodwa phela bona bebengawazi
/usr2/home/chuchenl/babel_sample.txt,,0,[302.265],<sta> mawa zingilinde (()) kodwa kuthwa khona izinte eziphindele emuva <no-speech> ehhe hayi omkhulu <no-speech> omncane
/usr2/home/chuchenl/babel_sample.txt,,1,[321.995],mmhm hayi sengiyezwa ke mengabe usuphinde ubuyela ke shuthi usungawuthenga sengiyakuzwa ke
/usr2/home/chuchenl/babel_sample.txt,,0,[329.785],mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[336.475],mmhm hayi <sta> sengiyezwa ke uma usho kanjalo ke hayi kodwa kokuthi nje awukho sidalo
/usr2/home/chuchenl/babel_sample.txt,,0,[349.475],<sta> yini indaba bazowudla yini
/usr2/home/chuchenl/babel_sample.txt,,1,[353.015],<sta> ngeke bawudle
/usr2/home/chuchenl/babel_sample.txt,,0,[355.875],bangawudla
/usr2/home/chuchenl/babel_sample.txt,,1,[358.835],ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[360.895],hawu ngabe bakhona ke bo
/usr2/home/chuchenl/babel_sample.txt,,1,[363.695],ngabe bakhona ke bo
/usr2/home/chuchenl/babel_sample.txt,,0,[366.335],mmhm hawu nibonile lapha <no-speech> awubonanga la kudayiswa khona inkomo
/usr2/home/chuchenl/babel_sample.txt,,1,[372.225],ehhe
/usr2/home/chuchenl/babel_sample.txt,,0,[384.185],intoni
/usr2/home/chuchenl/babel_sample.txt,,1,[386.655],mmhm mmhm
/usr2/home/chuchenl/babel_sample.txt,,0,[389.805],mmhm angithi lo okuse- okusephi konje okusempuphini
/usr2/home/chuchenl/babel_sample.txt,,1,[401.815],ohho mmhm ngiyakubona ke
/usr2/home/chuchenl/babel_sample.txt,,0,[405.445],kuseduze komgwaqo
/usr2/home/chuchenl/babel_sample.txt,,1,[412.355],hawe akusikhona la okuthiwa khona ikephi <no-speech> la ehlala khona
/usr2/home/chuchenl/babel_sample.txt,,0,[421.135],mmhm nibonile ke nenkomo eningi
/usr2/home/chuchenl/babel_sample.txt,,1,[428.165],ini
/usr2/home/chuchenl/babel_sample.txt,,0,[432.935],mmhm ngiyakhumbula uMthembu esishayela leyonto
/usr2/home/chuchenl/babel_sample.txt,,1,[439.005],wawubona
/usr2/home/chuchenl/babel_sample.txt,,0,[444.785],imfulo emibili
/usr2/home/chuchenl/babel_sample.txt,,1,[450.265],mmhm ngiyibonile ke
/usr2/home/chuchenl/babel_sample.txt,,0,[460.775],ubani
/usr2/home/chuchenl/babel_sample.txt,,1,[465.535],hawe ishi dade
/usr2/home/chuchenl/babel_sample.txt,,0,[468.955],hayi usazohlupheka ke mfana
/usr2/home/chuchenl/babel_sample.txt,,1,[477.025],thina njengoba sazi imfula nje ekwimap
/usr2/home/chuchenl/babel_sample.txt,,0,[483.985],hayi isidadu uwena ke umuntu ke osuwazi indawo
/usr2/home/chuchenl/babel_sample.txt,,1,[488.555],<sta> ngasikhathi sini
/usr2/home/chuchenl/babel_sample.txt,,0,[494.205],ubungahanquzi kodwa indlala
/usr2/home/chuchenl/babel_sample.txt,,1,[497.485],ubungasahanquzi kodw-
/usr2/home/chuchenl/babel_sample.txt,,0,[499.995],nigibeleni senifika ngale
/usr2/home/chuchenl/babel_sample.txt,,1,[503.955],akhona kodwa amatekisi
/usr2/home/chuchenl/babel_sample.txt,,0,[507.125],mmhm <sta> ngisho ngale e- emhubheni nigibele amatekisi noma amaveni <no-speech> <laugh>
/usr2/home/chuchenl/babel_sample.txt,,1,[524.055],wi akusizo ingqoshi into eyisile nje
/usr2/home/chuchenl/babel_sample.txt,,0,[531.825],hawe Ma
/usr2/home/chuchenl/babel_sample.txt,,1,[535.975],we hayi hayi hayi kuyalinywa lapho
/usr2/home/chuchenl/babel_sample.txt,,0,[541.485],ehhe
/usr2/home/chuchenl/babel_sample.txt,,1,[543.355],iyinsimu iyinsimu enkulu nje yaseBergville
/usr2/home/chuchenl/babel_sample.txt,,0,[555.555],hawu shame ngaze ngaba dabukela
/usr2/home/chuchenl/babel_sample.txt,,1,[558.885],hayi
/usr2/home/chuchenl/babel_sample.txt,,0,[565.015],mmhm kunjani kuphezulu noma kuyisigodi
/usr2/home/chuchenl/babel_sample.txt,,1,[571.825],we kuyisigodi nje
/usr2/home/chuchenl/babel_sample.txt,,0,[580.275],<int> mmhm
/usr2/home/chuchenl/babel_sample.txt,,1,[583.865],kungcono ke hayi usuyobuya usixoxele kahle ke
/usr2/home/chuchenl/babel_sample.txt,,0,[592.865],mmhm <no-speech> mmhm ngoba uthi bazogimba ke
